name,directory,image,iframe
Geometry Dash,webdash,https://selenite.cc/resources/semag/webdash/gd.webp,https://selenite.cc/resources/semag/webdash/index.html
Boil Noodles at Night,boilnoodles,https://selenite.cc/resources/semag/boilnoodles/boil.webp,https://selenite.cc/resources/semag/boilnoodles/index.html
Brotato Paws and Claws: Abyssal Terrors,brotatodlc,https://selenite.cc/resources/semag/brotatodlc/index.apple-touch-icon.png,https://selenite.cc/resources/semag/brotatodlc/index.html
Cheese Rolling,cheeserolling,https://selenite.cc/resources/semag/cheeserolling/chese.webp,https://selenite.cc/resources/semag/cheeserolling/index.html
Chessformer,chessformers,https://selenite.cc/resources/semag/chessformers/favicon.png,https://selenite.cc/resources/semag/chessformers/index.html
Gambler's Table,flip-coin,https://selenite.cc/resources/semag/flip-coin/index.icon.png,https://selenite.cc/resources/semag/flip-coin/index.html
Helltaker,helltaker,https://selenite.cc/resources/semag/helltaker/helltaker.webp,https://selenite.cc/resources/semag/helltaker/index.html
LORED,lored,https://selenite.cc/resources/semag/lored/index.icon.png,https://selenite.cc/resources/semag/lored/index.html
reincarnage,reincarnage,https://selenite.cc/resources/semag/reincarnage/index.icon.png,https://selenite.cc/resources/semag/reincarnage/index.html
Stardew Valley,stardewvalley,https://selenite.cc/resources/semag/stardewvalley/star.webp,https://selenite.cc/resources/semag/stardewvalley/index.html
upstream,upstream,https://selenite.cc/resources/semag/upstream/UpstreamGame.apple-touch-icon.png,https://selenite.cc/resources/semag/upstream/index.html
Cut The Rope Time Travel,ctrtimetravel,https://selenite.cc/resources/semag/ctrtimetravel/ttsplash.webp,https://selenite.cc/resources/semag/ctrtimetravel/index.html
Cut The Rope Experiments,ctrexperiments,https://selenite.cc/resources/semag/ctrexperiments/ctrex.webp,https://selenite.cc/resources/semag/ctrexperiments/index.html
Clover Pit,cloverpit,https://selenite.cc/resources/semag/cloverpit/cloverpit.webp,https://selenite.cc/resources/semag/cloverpit/index.html
Bad Parenting,badparenting,https://selenite.cc/resources/semag/badparenting/badparenting.webp,https://selenite.cc/resources/semag/badparenting/index.html
Bart Bash,bartbash,https://selenite.cc/resources/semag/bartbash/bartbash.webp,https://selenite.cc/resources/semag/bartbash/index.html
